web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120262-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3172011_uploaded_image1_1623695650.jpg","Dakar, Sénégal","60 000CFA","Oies"
"1765120262-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3172006_uploaded_image1_1623695521.jpg","Dakar, Sénégal","60 000CFA","Oies"
"1765120262-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg","Pikine, Sénégal","450 000CFA","Cheval"
"1765120262-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3169648_uploaded_image3_1623581190.jpeg","Touba, Sénégal","Prix sur demande","Cailles"
"1765120262-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg","Touba, Sénégal","Prix sur demande","Couple dinde"
"1765120262-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3165522_uploaded_image1_1623360382.jpg","Touba, Sénégal","Prix sur demande","Dinde"
"1765120262-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3164991_uploaded_image1_1623339895.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Paonneau"
"1765120262-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3156125_uploaded_image1_1622977662.jpg","Almadies, Dakar, Sénégal","Prix sur demande","Rat"
"1765120262-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3140939_uploaded_image1_1622373784.jpg","Yoff, Dakar, Sénégal","Prix sur demande","Poisson vivant"
"1765120262-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3140204_uploaded_image1_1622308324.jpg","Bambey, Sénégal","800 000CFA","Boeuf"
"1765120262-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3133835_uploaded_image1_1621994387.jpg","Mbour, Sénégal","85 000CFA","Oie géant"
"1765120262-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3127244_uploaded_image1_1621622446.jpg","Dakar, Sénégal","30 000CFA","Couple colvert"
"1765120262-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3119376_uploaded_image1_1621259652.jpg","Dakar, Sénégal","Prix sur demande","Oiseaux exotiques"
"1765120262-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3116528_uploaded_image1_1621091686.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","100 000CFA","Couple perruches ondulées"
"1765120262-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3095614_uploaded_image1_1620093462.jpg","HLM, Dakar, Sénégal","300 000CFA","Vache"
"1765120262-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3092550_uploaded_image1_1619979240.jpg","Mbao, Dakar, Sénégal","65 000CFA","Trio dindes d’amérique"
"1765120262-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3092218_uploaded_image1_1619966133.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","40 000CFA","Couple perruche arc en ciel"
"1765120262-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3087054_uploaded_image1_1619718794.jpg","Sicap Liberté, Dakar, Sénégal","2 000 000CFA","Taureau - géniteur laitier"
"1765120262-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3054622_uploaded_image1_1618231466.jpg","Almadies, Dakar, Sénégal","Prix sur demande","Chaton"
"1765120262-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3053064_uploaded_image1_1618156860.jpg","Dakar, Sénégal","650 000CFA","Cheval"
"1765120262-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3039728_uploaded_image1_1617557251.jpg","Sicap Liberté, Dakar, Sénégal","2 000 000CFA","Taureau géniteur laitier"
"1765120262-123","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3026572_uploaded_image1_1617014695.jpg","Dakar, Sénégal","25 000CFA","Oisillons"
"1765120262-124","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg","Dakar, Sénégal","80 000CFA","Oie adulte"
"1765120262-125","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3012715_uploaded_image1_1616282777.jpg","Dakar, Sénégal","800 000CFA","Cheval"
